hidden_dim,num_layers,batch_size,status,model_parameters,trainable_parameters,model_size_mb,gpu_allocated_baseline,gpu_allocated_after_creation,gpu_allocated_after_device,gpu_allocated_after_input,gpu_allocated_after_forward,memory_delta_model_creation,memory_delta_to_device,memory_delta_input,memory_delta_forward,gpu_memory_used_torch,gpu_peak_memory_torch,gpu_reserved_torch,gpu_memory_used_system,gpu_total_system,gpu_util_percent,system_memory_baseline,system_memory_after_device,system_memory_after_forward,cpu_memory,output_shape,error_message
64,2,32,success,53508,53508.0,0.2041168212890625,0.0234375,0.0234375,0.22998046875,48.23046875,136.68701171875,0.0,0.20654296875,48.00048828125,88.45654296875,88.45654296875,2727.23974609375,4834.0,4808.0,81920.0,6.539306640625001,501.0,501.0,5357.0,1241.375,"torch.Size([32, 3, 256, 256])",
64,2,64,success,53508,53508.0,0.2041168212890625,16.2734375,16.2734375,16.47998046875,112.48046875,256.68701171875,0.0,0.20654296875,96.00048828125,144.20654296875,144.20654296875,5447.39599609375,9674.0,9552.0,81920.0,12.447509765625,549.0,549.0,10197.0,1242.7265625,"torch.Size([64, 3, 256, 256])",
64,2,128,success,53508,53508.0,0.2041168212890625,16.2734375,16.2734375,16.47998046875,208.48095703125,496.6875,0.0,0.20654296875,192.0009765625,288.20654296875,288.20654296875,10871.458984375,19306.0,19088.0,81920.0,24.205322265625,549.0,549.0,19829.0,1255.05078125,"torch.Size([128, 3, 256, 256])",
64,2,256,success,53508,53508.0,0.2041168212890625,16.2734375,16.2734375,16.47998046875,400.48193359375,976.6884765625,0.0,0.20654296875,384.001953125,576.20654296875,576.20654296875,21719.5849609375,38570.0,38160.0,81920.0,47.720947265625,549.0,549.0,39093.0,1257.44140625,"torch.Size([256, 3, 256, 256])",
64,2,512,success,53508,53508.0,0.2041168212890625,16.2734375,16.2734375,16.47998046875,784.48388671875,1936.6904296875,0.0,0.20654296875,768.00390625,1152.20654296875,1152.20654296875,43415.8369140625,77098.0,76304.0,81920.0,94.752197265625,549.0,549.0,77621.0,1258.05078125,"torch.Size([512, 3, 256, 256])",
64,4,32,success,127364,127364.0,0.4858551025390625,16.2734375,16.2734375,16.76220703125,64.7626953125,137.25146484375,0.0,0.48876953125,48.00048828125,72.48876953125,72.48876953125,3759.64697265625,5886.0,5812.0,81920.0,7.823486328125,549.0,549.0,6409.0,1282.203125,"torch.Size([32, 3, 256, 256])",
64,4,64,success,127364,127364.0,0.4858551025390625,16.2734375,16.2734375,16.76220703125,112.7626953125,257.25146484375,0.0,0.48876953125,96.00048828125,144.48876953125,144.48876953125,7495.67822265625,11726.0,11604.0,81920.0,14.952392578125002,549.0,549.0,12249.0,1282.22265625,"torch.Size([64, 3, 256, 256])",
64,4,128,success,127364,127364.0,0.4858551025390625,16.2734375,16.2734375,16.76220703125,208.76318359375,497.251953125,0.0,0.48876953125,192.0009765625,288.48876953125,288.48876953125,14967.7412109375,23406.0,23188.0,81920.0,29.210205078125,549.0,549.0,23929.0,1282.32421875,"torch.Size([128, 3, 256, 256])",
64,4,256,success,127364,127364.0,0.4858551025390625,16.2734375,16.2734375,16.76220703125,400.76416015625,977.2529296875,0.0,0.48876953125,384.001953125,576.48876953125,576.48876953125,29911.8671875,46766.0,46356.0,81920.0,57.72583007812499,549.0,549.0,47289.0,1282.328125,"torch.Size([256, 3, 256, 256])",
64,4,512,success,127364,127364.0,0.4858551025390625,16.2734375,16.2734375,16.76220703125,784.76611328125,1937.2548828125,0.0,0.48876953125,768.00390625,1152.48876953125,1152.48876953125,59800.119140625,59816.0,59022.0,81920.0,73.656005859375,549.0,549.0,60339.0,1282.328125,"torch.Size([512, 3, 256, 256])",
64,6,32,success,201220,201220.0,0.7675933837890625,16.2734375,16.2734375,17.04443359375,65.044921875,137.81591796875,0.0,0.77099609375,48.00048828125,72.77099609375,72.77099609375,4783.92919921875,6914.0,6840.0,81920.0,9.078369140625,549.0,549.0,7437.0,1282.62109375,"torch.Size([32, 3, 256, 256])",
64,6,64,success,201220,201220.0,0.7675933837890625,16.2734375,16.2734375,17.04443359375,113.044921875,257.81591796875,0.0,0.77099609375,96.00048828125,144.77099609375,144.77099609375,9543.96044921875,13778.0,13656.0,81920.0,17.457275390625,549.0,549.0,14301.0,1282.62109375,"torch.Size([64, 3, 256, 256])",
64,6,128,success,201220,201220.0,0.7675933837890625,16.2734375,16.2734375,17.04443359375,209.04541015625,497.81640625,0.0,0.77099609375,192.0009765625,288.77099609375,288.77099609375,19064.0234375,27506.0,27288.0,81920.0,34.215087890625,549.0,549.0,28029.0,1282.62109375,"torch.Size([128, 3, 256, 256])",
64,6,256,success,201220,201220.0,0.7675933837890625,16.2734375,16.2734375,17.04443359375,401.04638671875,977.8173828125,0.0,0.77099609375,384.001953125,576.77099609375,576.77099609375,38104.1494140625,54964.0,54554.0,81920.0,67.733154296875,549.0,549.0,55487.0,1282.62109375,"torch.Size([256, 3, 256, 256])",
64,6,512,success,201220,201220.0,0.7675933837890625,16.2734375,16.2734375,17.04443359375,785.04833984375,1937.8193359375,0.0,0.77099609375,768.00390625,1152.77099609375,1152.77099609375,76184.4013671875,76206.0,75412.0,81920.0,93.663330078125,549.0,549.0,76729.0,1282.62109375,"torch.Size([512, 3, 256, 256])",
